DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school's approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services,Metric Rating - Percentage of Students with 90%+ Attendance,N count - Percentage of Students with 90%+ Attendance,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Metric Rating - Movement of Students with IEPs to Less Restrictive Environments,N count - Movement of Students with IEPs to Less Restrictive Environments,Metric Value - Movement of Students with IEPs to Less Restrictive Environments,Metric Score - Movement of Students with IEPs to Less Restrictive Environments,Rigorous Instruction - Element Score,Rigorous Instruction - City Positive Responses,Collaborative Teachers - Element Score,Collaborative Teachers - City Positive Responses,Supportive Environment - Element Score,Supportive Environment - City Positive Responses,Effective School Leadership - Element Score,Effective School Leadership - City Positive Responses,Strong Family-Community Ties - Element Score,Strong Family-Community Ties - City Positive Responses,Trust - Element Score,Trust - City Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review,N Count - Average Student Attendance,Metric Value - Average Student Attendance,"N Count - Percentage of Students at Level 3 or 4, ELA","Metric Value - Percentage of Students at Level 3 or 4, ELA","N Count - Percentage of Students at Level 3 or 4, Math","Metric Value - Percentage of Students at Level 3 or 4, Math","N Count - Average Student Proficiency, ELA","Metric Value - Average Student Proficiency, ELA","N Count - Average Student Proficiency, Math","Metric Value - Average Student Proficiency, Math",Geographical_District_code
84Q414,Renaissance Charter School 2,K-3,374.0,Meeting Target,Meeting Target,,Meeting Target,Exceeding Target,Meeting Target,0.82,0.86,0.86,0.83,0.97,0.86,,,,,,,,,,,,0.535,0.465,0.0,0.358,0.174,0.003,0.107,0.011,0.733,0.086,0.676,0.15,0.064,0.733,0.003,0.005,0.043,0.233,0.05,0.2,0.0,0.0,0.333,0.9,0.338,0.012,0.584,0.007,0.002,0.043,0.158,0.016,0.729,0.006,0.001,0.083,3.0,0.25,0.95,0.98,,,,,,,,410.0,0.907,,,40.0,0.53,,3.49,0.81,3.61,0.86,,0.8,3.53,0.83,4.46,0.95,3.37,0.9,,0.64,0.38,,,468.0,0.95,75.0,0.427,76.0,0.724,75.0,2.78,76.0,3.35,
84Q416,Achievement First Legacy Charter School,K-1,151.0,,,,,,,,,,0.97,0.98,0.97,,,,,,,,,,,,0.483,0.517,0.0,0.013,0.106,0.0,0.046,0.02,0.72,0.053,0.682,0.026,0.828,0.106,0.007,0.007,0.013,0.05,0.292,0.05,0.0,0.0,0.05,1.4,0.058,0.737,0.143,0.027,0.008,0.009,0.226,0.499,0.19,0.044,0.008,0.014,2.0,0.53,0.877,0.936,,,,,,,,157.0,0.522,,,7.0,0.86,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,0.17,,,160.0,0.877,,0.15,,0.15,,0.15,,0.15,
84Q418,Our World Neighborhood Charter School 3,K-1,79.0,,,,,,,0.71,0.92,0.89,0.8,0.95,0.96,,,,,,,,,,,,0.468,0.532,0.0,0.734,0.177,0.0,0.076,0.025,0.846,0.177,0.772,0.025,0.013,0.949,0.0,0.0,0.013,0.05,0.156,0.313,0.05,0.05,0.438,1.1,0.225,0.026,0.639,0.005,0.001,0.093,0.158,0.016,0.729,0.006,0.001,0.083,,,0.903,,,,,,,,,89.0,0.652,,,6.0,0.33,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,1.0,0.53,,,104.0,0.903,,0.15,,0.15,,0.15,,0.15,
84R088,Staten Island Hebrew Public Charter School,K-1,84.0,,,,,,,0.88,0.94,1.0,0.85,0.96,0.95,,,,,,,,,,,,0.417,0.583,0.0,0.286,0.214,0.012,0.143,0.012,0.614,0.024,0.583,0.119,0.131,0.167,0.0,0.0,0.571,0.05,0.05,0.4,0.0,0.0,0.05,2.6,0.275,0.076,0.231,0.004,0.002,0.389,0.168,0.101,0.303,0.005,0.001,0.398,0.0,0.67,0.883,0.97,,,,,,,,93.0,0.43,,,12.0,0.17,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,0.89,0.45,,,103.0,0.883,,0.15,,0.15,,0.15,,0.15,
84X628,Brilla Caritas Charter School,K-2,240.0,Not Meeting Target,Approaching Target,,Approaching Target,Exceeding Target,Meeting Target,0.52,0.69,0.53,0.66,0.98,0.89,,,,,,,,,,,,0.538,0.463,0.0,0.475,0.192,0.033,0.083,0.008,0.905,0.083,0.863,0.021,0.079,0.875,0.004,0.0,0.0,0.0,0.227,0.591,0.05,0.0,0.05,0.4,0.01,0.11,0.848,0.008,0.001,0.015,0.036,0.128,0.76,0.007,0.003,0.054,4.0,0.1,0.939,0.82,,,,,,,,250.0,0.844,,,20.0,0.1,,1.0,0.81,2.53,0.86,,0.8,2.04,0.83,4.55,0.95,3.63,0.9,,0.73,0.81,,,250.0,0.939,,0.15,,0.15,,0.15,,0.15,
84X629,Brilla Pax Charter School,K-2,205.0,Meeting Target,Meeting Target,,Meeting Target,Exceeding Target,Meeting Target,0.82,0.82,0.78,0.83,0.98,0.92,,,,,,,,,,,,0.551,0.449,0.0,0.385,0.22,0.02,0.146,0.015,0.885,0.073,0.834,0.005,0.093,0.873,0.0,0.005,0.015,0.0,0.188,0.344,0.05,0.05,0.406,0.4,0.011,0.113,0.844,0.008,0.001,0.014,0.036,0.128,0.76,0.007,0.003,0.054,4.0,0.56,0.926,0.94,,,,,,,,212.0,0.722,,,26.0,0.42,,3.79,0.81,3.28,0.86,,0.8,3.64,0.83,4.55,0.95,3.97,0.9,,1.0,0.81,,,213.0,0.926,,0.15,,0.15,,0.15,,0.15,
84X630,Girls Preparatory Charter School of the Bronx II,K-2,136.0,Meeting Target,Meeting Target,,Meeting Target,Exceeding Target,Meeting Target,0.83,0.83,0.79,0.8,0.97,0.87,,,,,,,,,,,,0.993,0.007,0.0,0.125,0.184,0.0,0.132,0.007,0.907,0.125,0.838,0.0,0.449,0.485,0.015,0.015,0.007,0.05,0.05,0.471,0.0,0.0,0.05,1.3,0.011,0.353,0.582,0.012,0.003,0.025,0.007,0.302,0.653,0.016,0.001,0.012,3.0,0.62,1.0,0.9,,,,,,,,118.0,1.0,,,11.0,0.27,,3.81,0.81,3.5,0.86,,0.8,3.19,0.83,4.46,0.95,3.5,0.9,,1.0,0.95,,,129.0,1.0,,0.15,,0.15,,0.15,,0.15,
84X631,Zeta Charter School - Mount Eden,K-2,306.0,,,,,,,,,,0.95,0.97,0.95,,,,,,,,,,,,0.526,0.474,0.0,0.232,0.183,0.013,0.111,0.0,0.921,0.163,0.843,0.007,0.232,0.729,0.01,0.003,0.013,0.05,0.05,0.05,0.05,0.05,0.05,0.4,0.016,0.257,0.696,0.011,0.005,0.008,0.007,0.249,0.715,0.008,0.003,0.014,,,0.15,,,,,,,,,,0.15,,,25.0,0.32,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,1.0,,,,0.15,,0.15,,0.15,,0.15,,0.15,
84X632,Zeta Charter School - Tremont Park,K-2,343.0,,,,,,,,,,0.95,0.96,0.96,,,,,,,,,,,,0.557,0.443,0.0,0.117,0.131,0.017,0.079,0.009,0.886,0.152,0.805,0.0,0.35,0.636,0.006,0.003,0.003,0.05,0.05,0.05,0.05,0.05,0.05,0.7,0.004,0.281,0.683,0.007,0.003,0.014,0.034,0.234,0.702,0.011,0.002,0.012,,,0.15,,,,,,,,,,0.15,,,25.0,0.2,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,0.99,,,,0.15,,0.15,,0.15,,0.15,,0.15,
84X633,Wildflower New York Charter School,K-3,39.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.333,0.667,0.0,0.231,0.333,0.0,0.205,0.103,0.869,0.077,0.769,0.0,0.513,0.487,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.5,0.006,0.411,0.539,0.007,0.002,0.023,0.007,0.249,0.715,0.008,0.003,0.014,2.0,1.0,0.985,1.0,,,,,,,,40.0,0.95,,,9.0,0.89,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,0.67,0.14,,,41.0,0.985,,0.15,,0.15,,0.15,,0.15,
84X637,Success Academy Charter School - Bronx 5 Lower,K-1,109.0,,,,,,,,,,,,,,,,,,,,,,,,0.569,0.431,0.0,0.055,0.101,0.0,0.046,0.018,0.936,0.248,0.853,0.0,0.56,0.404,0.0,0.0,0.018,0.05,0.05,0.5,0.0,0.0,0.05,1.9,0.015,0.347,0.572,0.012,0.003,0.037,0.007,0.302,0.653,0.016,0.001,0.012,,,0.866,,,,,,,,,129.0,0.341,,,4.0,0.05,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,0.05,,,140.0,0.866,,0.15,,0.15,,0.15,,0.15,
84X638,Success Academy Charter School - Bronx 5 Upper,K-3,57.0,,,,,,,,,,,,,,,,,,,,,,,,0.491,0.509,0.0,0.053,0.175,0.0,0.14,0.0,0.857,0.263,0.789,0.0,0.579,0.368,0.018,0.0,0.018,0.0,0.05,0.545,0.05,0.0,0.0,2.0,0.017,0.348,0.566,0.011,0.003,0.04,0.007,0.302,0.653,0.016,0.001,0.012,,,0.885,,,,,,,,,63.0,0.492,,,6.0,0.33,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,,,,73.0,0.885,20.0,0.35,20.0,0.8,20.0,2.72,20.0,3.52,
84X639,Dream Charter School Highbridge,K-1,51.0,,,,,,,,,,1.0,0.97,0.97,,,,,,,,,,,,0.431,0.569,0.0,0.275,0.235,0.0,0.157,0.039,0.919,0.157,0.843,0.0,0.431,0.529,0.0,0.02,0.0,0.05,0.556,0.05,0.05,0.05,0.05,0.8,0.009,0.279,0.683,0.008,0.003,0.011,0.007,0.249,0.715,0.008,0.003,0.014,1.0,0.82,0.859,0.88,,,,,,,,57.0,0.368,,,9.0,0.67,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,0.67,0.87,,,58.0,0.859,,0.15,,0.15,,0.15,,0.15,
