DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school's approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services,Metric Rating - Percentage of Students with 90%+ Attendance,N count - Percentage of Students with 90%+ Attendance,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Metric Rating - Movement of Students with IEPs to Less Restrictive Environments,N count - Movement of Students with IEPs to Less Restrictive Environments,Metric Value - Movement of Students with IEPs to Less Restrictive Environments,Metric Score - Movement of Students with IEPs to Less Restrictive Environments,Rigorous Instruction - Element Score,Rigorous Instruction - City Positive Responses,Collaborative Teachers - Element Score,Collaborative Teachers - City Positive Responses,Supportive Environment - Element Score,Supportive Environment - City Positive Responses,Effective School Leadership - Element Score,Effective School Leadership - City Positive Responses,Strong Family-Community Ties - Element Score,Strong Family-Community Ties - City Positive Responses,Trust - Element Score,Trust - City Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review,N Count - Average Student Attendance,Metric Value - Average Student Attendance,"N Count - Percentage of Students at Level 3 or 4, ELA","Metric Value - Percentage of Students at Level 3 or 4, ELA","N Count - Percentage of Students at Level 3 or 4, Math","Metric Value - Percentage of Students at Level 3 or 4, Math","N Count - Average Student Proficiency, ELA","Metric Value - Average Student Proficiency, ELA","N Count - Average Student Proficiency, Math","Metric Value - Average Student Proficiency, Math",Geographical_District_code
25Q244,The Active Learning Elementary School,K-3,402.0,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.86,0.91,0.85,0.91,0.96,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,March 2020,0.498,0.502,0.0,0.607,0.124,0.037,0.015,0.045,0.76,0.017,0.667,0.915,0.005,0.057,0.005,0.0,0.007,0.4,0.05,0.05,0.05,0.05,0.533,0.3,0.844,0.01,0.112,0.006,0.001,0.013,0.56,0.031,0.298,0.006,0.001,0.088,12.2,0.9,0.942,0.94,0.91,,,1.0,0.0,0.0,Approaching Target,420.0,0.829,2.96,Exceeding Target,25.0,0.64,4.99,4.66,0.81,4.07,0.86,4.29,0.8,4.65,0.83,4.23,0.95,4.44,0.9,,1.0,0.61,Robert Groff,March 2020,426.0,0.942,60.0,0.6,61.0,0.852,60.0,3.15,61.0,3.6,25.0
26Q390,The CIVIC School of Bayside Hills,K-2,71.0,,,,,,Exceeding Target,0.94,1.0,0.97,0.96,0.97,0.96,,,,,,,,,,,,0.592,0.408,0.0,0.0,0.268,0.056,0.07,0.0,0.348,0.0,0.282,0.282,0.155,0.296,0.028,0.014,0.183,0.05,0.05,0.05,0.05,0.05,0.667,1.7,0.628,0.032,0.172,0.006,0.002,0.13,0.63,0.039,0.162,0.008,0.002,0.132,3.2,0.556,0.91,0.978,0.89,,,1.0,0.0,0.0,,74.0,0.662,,,7.0,0.0,,,0.81,,0.86,,0.8,,0.83,,0.95,4.2,0.9,,1.0,0.94,,,78.0,0.91,,0.15,,0.15,,0.15,,0.15,
27Q051,P.S. 051,K-1,168.0,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.91,0.9,0.95,0.94,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,1-Apr-16,0.435,0.565,0.0,0.274,0.167,0.0,0.083,0.06,0.777,0.048,0.738,0.244,0.107,0.47,0.071,0.0,0.095,0.05,0.05,0.05,0.0,0.0,0.667,0.3,0.242,0.069,0.585,0.04,0.004,0.058,0.216,0.174,0.472,0.067,0.009,0.046,17.2,0.833,0.859,0.973,0.75,,,0.97,,,Not Meeting Target,192.0,0.458,1.0,Approaching Target,18.0,0.11,2.5,4.81,0.81,3.74,0.86,4.53,0.8,4.67,0.83,3.98,0.95,4.12,0.9,,0.83,0.45,Magdaly Saint-Juste,1-Apr-16,196.0,0.859,,0.15,,0.15,,0.15,,0.15,27.0
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,K-2,195.0,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.89,0.95,0.97,0.84,0.96,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,May 2018,0.533,0.467,0.0,0.349,0.144,0.0,0.103,0.005,0.584,0.087,0.472,0.092,0.005,0.733,0.0,0.01,0.123,0.0,0.0,0.353,0.05,0.0,0.529,0.3,0.164,0.005,0.736,0.003,0.003,0.062,0.203,0.041,0.561,0.007,0.002,0.163,16.2,0.706,0.904,0.971,0.94,,,0.98,,,Approaching Target,209.0,0.617,2.36,Meeting Target,14.0,0.21,3.0,3.67,0.81,4.63,0.86,4.89,0.8,4.13,0.83,4.23,0.95,3.73,0.9,,0.88,0.62,YVONNE MARRERO,May 2018,220.0,0.904,,0.15,,0.15,,0.15,,0.15,30.0
30Q228,The Ivan Lafayette Early Childhood School of the Arts,K-2,183.0,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.81,0.85,0.97,0.74,0.97,0.87,Proficient,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,April 2017,0.514,0.486,0.0,0.601,0.24,0.0,0.12,0.082,0.815,0.169,0.732,0.055,0.005,0.885,0.0,0.0,0.044,0.0,0.0,0.87,0.0,0.0,0.05,0.2,0.128,0.019,0.779,0.004,0.002,0.054,0.203,0.041,0.561,0.007,0.002,0.163,22.2,0.957,0.919,0.935,1.0,0.0,0.0,0.97,,,Meeting Target,188.0,0.713,3.11,Meeting Target,25.0,0.36,3.83,3.99,0.81,3.67,0.86,4.39,0.8,3.15,0.83,4.27,0.95,3.4,0.9,,0.3,0.54,OLGA GUZMAN,April 2017,192.0,0.919,,0.15,,0.15,,0.15,,0.15,30.0
30Q228,The Ivan Lafayette Early Childhood School of the Arts,K-2,183.0,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.81,0.85,0.97,0.74,0.97,0.87,Proficient,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,April 2017,0.514,0.486,0.0,0.601,0.24,0.0,0.12,0.082,0.815,0.169,0.732,0.055,0.005,0.885,0.0,0.0,0.044,0.0,0.0,0.87,0.0,0.0,0.05,0.2,0.128,0.019,0.779,0.004,0.002,0.054,0.203,0.041,0.561,0.007,0.002,0.163,22.2,0.957,0.919,0.935,1.0,0.0,0.0,0.97,,,Meeting Target,188.0,0.713,3.11,Meeting Target,25.0,0.36,3.83,3.99,0.81,3.67,0.86,4.39,0.8,3.15,0.83,4.27,0.95,3.4,0.9,,0.3,0.54,OLGA GUZMAN,April 2017,192.0,0.919,,0.15,,0.15,,0.15,,0.15,30.0
30Q398,The Hector Figueroa School,K-3,264.0,,,,,,Approaching Target,0.79,0.76,0.69,0.66,0.94,0.8,,,,,,,,,,,,0.443,0.557,0.0,0.326,0.163,0.004,0.08,0.057,0.662,0.087,0.568,0.413,0.004,0.477,0.0,0.004,0.072,0.304,0.0,0.478,0.0,0.0,0.217,0.3,0.566,0.002,0.335,0.004,0.002,0.061,0.203,0.041,0.561,0.007,0.002,0.163,4.2,0.565,0.916,0.976,0.88,,,0.98,,,,281.0,0.676,,,18.0,0.22,,,0.81,,0.86,,0.8,,0.83,,0.95,2.85,0.9,,1.0,0.85,,,294.0,0.916,51.0,0.667,54.0,0.741,51.0,3.27,54.0,3.45,30.0
31R084,The Waverly Academy of Empowered Learners,K-1,43.0,,,,,,,,,,0.91,0.94,0.92,,,,,,,,,,,,0.465,0.535,0.0,0.093,0.558,0.0,0.326,0.186,0.914,0.023,0.86,0.0,0.465,0.419,0.07,0.0,0.047,0.0,0.0,0.05,0.0,0.0,0.05,0.3,0.044,0.484,0.401,0.009,0.0,0.041,0.168,0.101,0.303,0.005,0.001,0.398,1.2,1.0,0.896,0.975,0.95,,,0.95,,,,49.0,0.571,,,6.0,0.0,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,0.8,0.71,,,55.0,0.896,,0.15,,0.15,,0.15,,0.15,
84K929,East Brooklyn Ascend Charter School,K-3,109.0,,,,,,,,,,,,,,,,,,,,,,,,0.606,0.394,0.0,0.202,0.211,0.009,0.147,0.018,0.907,0.092,0.89,0.0,0.431,0.514,0.009,0.0,0.009,0.05,0.4,0.05,0.0,0.0,0.25,0.5,0.071,0.288,0.6,0.019,0.001,0.009,0.113,0.346,0.492,0.019,0.003,0.019,5.0,0.55,0.94,0.76,,,,,,,,111.0,0.82,,,9.0,0.0,,,0.81,,0.86,,0.8,,0.83,,0.95,,0.9,,,,,,116.0,0.94,21.0,0.333,21.0,0.429,21.0,2.69,21.0,2.86,19.0
84M390,Amber Charter School Inwood,K-2,102.0,Meeting Target,Meeting Target,,Meeting Target,Exceeding Target,Meeting Target,0.76,0.77,0.91,0.81,0.96,0.92,,,,,,,,,,,,0.52,0.48,0.0,0.216,0.235,0.186,0.01,0.0,0.871,0.088,0.824,0.01,0.127,0.843,0.0,0.0,0.01,0.05,0.227,0.591,0.0,0.0,0.05,1.1,0.017,0.09,0.809,0.004,0.002,0.054,0.009,0.08,0.815,0.004,0.001,0.068,4.0,0.18,0.908,0.9,,,,,,,,105.0,0.667,,,11.0,0.09,,3.12,0.81,3.2,0.86,,0.8,3.45,0.83,4.18,0.95,3.86,0.9,,0.7,0.68,,,109.0,0.908,,0.15,,0.15,,0.15,,0.15,
